component	level	definition	detection	orientation	containment	symbol	status
resistance_gene	atomic	Exact resistance allele or explicitly unresolved/truncated resistance-gene framework.	AMRFinder or curated nucleotide/protein reference with allele-specific constraints.	Coding direction.	May occur inside a cassette, captured segment, transposon, resistance region or plasmid backbone.	gene_arrow	partially_detected
non_resistance_gene	atomic	Named protein-coding gene without an antimicrobial-resistance assignment.	Curated feature reference or gene caller plus functional annotation.	Coding direction.	May occur in cassettes, mobile elements, accessory regions or plasmid backbone.	gene_arrow	partially_detected
transposition_gene	atomic	Mobility gene such as tnpA, tnpR, tniA, tniB, tniQ, tniR or tns genes.	Curated component reference or protein-family model; exact role retained.	Coding direction.	Part of an IS, unit transposon, Tn402-type module or related mobile element.	gene_arrow	partially_detected
integrase	atomic	Integron integrase gene intI, with class/allele retained when known.	IntegronFinder or curated intI reference.	Coding direction; the class-1 5-prime conserved segment runs towards attI and opposite intI.	Part of a minimal integron and normally within its 5-prime conserved region.	gene_arrow	detected
gene_cassette	atomic_unit	Usually one promoterless ORF, occasionally two, plus its cognate attC recombination site.	Cassette reference or oriented ORF-to-attC reconstruction; ORF alone is a cassette fragment.	Towards the main attC site.	Member of a cassette array; may be interrupted or reduced to a remnant.	cassette_box	partially_detected
cassette_remnant	atomic_unit	Recognisable but incomplete cassette, ORF or attC remnant that cannot be promoted to a complete cassette.	Partial reference match or incomplete ORF-attC evidence.	Inferred only when ORF or attC evidence supports it.	May remain in a cassette array or interrupted integron.	cassette_fragment	partially_detected
attC	atomic_site	Cassette recombination site; seven bases begin the cassette and the remainder lies downstream of its gene.	IntegronFinder attC model or exact cassette reference.	Main-site orientation defines cassette direction.	Child of a complete cassette, cassette remnant or cassette array.	att_site	detected
cassette_array	compound_region	One or more tandem gene cassettes downstream of attI and Pc.	Ordered, consistently oriented cassettes and attC sites connected to an integron platform.	From attI/Pc through successive cassettes.	Child region of an integron; contains cassettes and remnants.	region_outline	partially_detected
attI	atomic_site	Primary integron recombination site adjacent to intI and the cassette array.	Integron class-specific motif/reference and positional support from intI/Pc.	Defines the start of the cassette array.	Part of the minimal integron platform.	att_site	reference_needed
Pc_promoter	atomic_site	Integron cassette promoter, including named variants and P2 when activated by the 5-prime-CS GGG insertion.	Variant-specific nucleotide motif in the 5-prime conserved segment.	Transcribes the cassette array away from attI.	Part of the minimal integron platform/5-prime conserved segment.	promoter_flag	reference_needed
